Empid,Position,DeptID,Department,Salary,ManagerName,DateofHire
10026,Production Technician I,5,Production       ,62506,Michael Albert,2011-07-05
10084,Sr. DBA,3,IT/IS,104437,Simon Roup,2015-03-30
10196,Production Technician II,5,Production       ,64955,Kissy Sullivan,2011-07-05
10088,Production Technician I,5,Production       ,64991,Elijiah Gray,2008-01-07
10069,Production Technician I,5,Production       ,50825,Webster Butler,2011-07-11
10002,Production Technician I,5,Production       ,57568,Amy Dunn,2012-01-09
10194,Software Engineer,4,Software Engineering,95660,Alex Sweetwater,2014-11-10
10062,Production Technician I,5,Production       ,59365,Ketsia Liebig,2013-09-30
10114,Production Technician I,5,Production       ,47837,Brannon Miller,2009-07-06
10250,IT Support,3,IT/IS,50178,Peter Monroe,2015-01-05
10252,Production Technician I,5,Production       ,54670,David Stanley,2011-01-10
10242,Production Technician I,5,Production       ,47211,Kissy Sullivan,2012-04-02
10012,Data Analyst,3,IT/IS,92328,Simon Roup,2014-11-10
10265,Production Technician I,5,Production       ,58709,Kelley Spirea,2012-02-20
10066,Production Technician I,5,Production       ,52505,Michael Albert,2012-09-24
10061,Production Technician I,5,Production       ,57834,Kelley Spirea,2011-02-21
10023,Production Technician II,5,Production       ,70131,Kelley Spirea,2016-07-21
10055,Production Technician I,5,Production       ,59026,Elijiah Gray,2011-04-04
10245,Database Administrator,3,IT/IS,110000,Simon Roup,2014-07-07
10277,Production Technician I,5,Production       ,53250,Webster Butler,2013-07-08
10046,Production Technician I,5,Production       ,51044,Amy Dunn,2012-04-02
10226,Production Technician I,5,Production       ,64919,Ketsia Liebig,2013-08-19
10003,Production Technician I,5,Production       ,62910,Brannon Miller,2014-07-07
10294,Production Technician II,5,Production       ,66441,Michael Albert,2011-04-04
10267,Production Technician II,5,Production       ,57815,Elijiah Gray,2011-01-10
10199,Enterprise Architect,3,IT/IS,103613,Simon Roup,2014-02-17
10081,Sr. Accountant,1,Admin Offices,106367,Brandon R. LeBlanc,2015-02-16
10175,Production Manager,5,Production       ,74312,Janet King,2013-09-30
10177,Production Technician I,5,Production       ,53492,David Stanley,2012-04-02
10238,Accountant I,1,Admin Offices,63000,Brandon R. LeBlanc,2008-10-27
10184,Production Technician II,5,Production       ,65288,Webster Butler,2014-09-29
10203,Production Technician I,5,Production       ,64375,Kissy Sullivan,2013-11-11
10188,Area Sales Manager,6,Sales,74326,John Smith,2011-08-15
10107,Production Technician II,5,Production       ,63763,Amy Dunn,2012-03-05
10181,Production Technician II,5,Production       ,62162,Ketsia Liebig,2011-04-04
10150,Software Engineering Manager,4,Software Engineering,77692,Jennifer Zamora,2011-08-15
10001,Production Manager,5,Production       ,72640,Janet King,2016-01-28
10085,Software Engineer,4,Software Engineering,93396,Alex Sweetwater,2013-11-11
10115,Production Technician I,5,Production       ,52846,Kelley Spirea,2014-03-31
10082,Sr. DBA,3,IT/IS,100031,Simon Roup,2016-06-30
10040,Area Sales Manager,6,Sales,71860,John Smith,2014-08-18
10067,Production Technician I,5,Production       ,61656,Michael Albert,2014-09-29
10108,BI Director,3,IT/IS,110929,Jennifer Zamora,2016-09-06
10210,Production Technician I,5,Production       ,54237,Elijiah Gray,2014-05-12
10154,Production Technician I,5,Production       ,60380,Webster Butler,2013-07-08
10200,Area Sales Manager,6,Sales,66808,Lynn Daneault,2012-05-14
10240,Production Technician I,5,Production       ,64786,Amy Dunn,2011-06-27
10168,Production Technician I,5,Production       ,64816,Ketsia Liebig,2011-10-03
10220,IT Support,3,IT/IS,68678,Eric Dougall,2012-09-05
10275,Production Technician II,5,Production       ,64066,Brannon Miller,2011-05-16
10269,Production Technician II,5,Production       ,59369,David Stanley,2010-08-30
10029,Production Technician I,5,Production       ,50373,Brannon Miller,2016-07-06
